country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Afghanistan,,,,,0.128,,,,,,,,,,,,0.0958
Angola,,,,,,,,,,188,96,66.2,97.9,254,79.7,85.5,61.7
Argentina,,,,,,,,,,,,0,0,0,0,,
Armenia,,,,,,,,,0,0,,0,0,0,0,0,0
Azerbaijan,,,,,,,,,0,0,,0,0,0,0,0,0
Burundi,,,,,,,,,,,8.68,6.1,6.85,5.83,9.35,24.7,5.31
Benin,,,,,,,,,10,7.76,10.2,6.27,9.18,7.03,11.5,3.79,15.9
Burkina Faso,,,,,,,,,23.4,24.4,23.1,34.5,31.8,37.1,31.1,37.5,56.3
Bangladesh,,,,,,1.1,0.616,0.357,0.394,0.404,0.347,0.331,0.413,0.846,0.273,,
Belize,,,,,,,,,,,,0,0,,0,,0.355
Bolivia,,,,,,,,,0.288,,,,0.0462,0.0226,0,0,0
Brazil,,,,,,,,,,,,0.0804,0.0519,0.0567,0.0542,0.0653,0.0512
Bhutan,,,,,,,4.91,2.71,3.21,,,2.44,1.86,2.47,0.802,0.785,0.925
Botswana,,,,,,,,8.61,1.38,2.88,1.74,1.54,1.3,1,1.05,0.599,2.26
Central African Republic,,,,,,,,,10.1,12.8,,13.6,,10.3,20.8,15.9,20.3
China,0.00305,,0.00442,0.0016,0.00358,0.00279,0.00243,0.0037,0.00191,0.00529,0.00305,0.00218,0.00324,0.00399,0.00236,0.00364,0.00286
Cote d'Ivoire,,,,,,,,,8.21,5.84,4.28,,,,,,
Cameroon,,,,,,,,,,,,,,,,4.7,5.12
"Congo, Dem. Rep.",,,,,,,,,,,5.01,,3.6,29.9,,,40.1
"Congo, Rep.",,,,,,,,,,,,,,,,,6.86
Colombia,,,,,,,,,,,,0.137,0.093,0.0549,0.0564,0.0623,0.116
Comoros,,,,,,,,,,7.35,11.7,2.23,,,3.6,11.5,6.84
Cape Verde,,,,,,,,,,,,0,0.212,0.413,0.404,0.197,1.35
Costa Rica,,,,,,,,,,,,0,0,0,,,
Dominican Republic,,,,,,,,,0.166,,,0.18,0.122,0.131,0.172,0.169,0.104
Algeria,,,,,,,,,0.00675,0.0199,0.00328,0.00323,0,,,,
Ecuador,,,,,,,,,0.134,,,,0,0,,,
Egypt,,,,,0,,,,,,,,,0,0,,0
Eritrea,,,,,,,,,11.8,4.76,2.55,3.37,2.13,1.68,0.367,0.707,0.362
Ethiopia,,,,,,,,,,,1.59,2.36,2.2,2.85,4.32,1.38,1.68
Gabon,,,,,,,,,,,,7.55,,,,36.7,6.03
Georgia,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
Ghana,,,,,,,,,14.5,14.3,16,8.33,9.09,7.79,5.71,7.81,12.3
Guinea,,,,,,,,,0.165,0.162,5.38,6.18,5.17,6.76,5.98,5.44,
Guinea-Bissau,,,,,,,,,,,77.7,45,53.6,75.7,36.5,35.4,30.8
Guatemala,,,,,,,,,0.084,,,,0,0,0.00807,0,0.00768
French Guiana,,,,,,,,,,,,0,,2.2,0,,2.54
Guyana,,,,,,,,,4.62,,,,,,1.08,2.98,2.71
Honduras,,,,,,,,,,,,0,0,0,,0.0146,0
Haiti,,,,,,,,,0.302,,,0.183,,0.178,,0.312,0.339
Indonesia,,,,,,,0.0739,0.098,0.0219,,,0.0317,0.0906,,,,0.216
India,,,,,,,0.288,0.0887,0.0659,,0.0896,0.0954,0.0899,0.0915,0.085,0.0849,0.148
Iran,,,,,,,,0.0344,,0.00458,0.00605,0.00299,0.00297,0.00735,0.00146,0.00144,0.00142
Iraq,,,,,0,,,,,,,0,0,0,0,0,0
Kenya,,,,,,,,,2.24,5.07,2.19,,0.41,,,,
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Cambodia,10.5,11.6,13.6,10.3,9.11,5.39,6.37,6.76,5.06,7.11,4.76,3.65,3.45,3.65,2.78,2.12,2.79
South Korea,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
Lao,9.13,10.9,10.1,9.39,13.3,13.2,12.7,12.3,8.5,6.59,6.7,4.59,3.61,3.41,1.88,1.36,0.365
Liberia,,,,,,,,,,,,,,,,1.19,24.5
Sri Lanka,,,,,,,0.143,0.332,0.622,,,0.282,0.159,0.0106,0.0105,0,0
Morocco,,,,,,,,0,,,,,,,0.00663,0.00328,0.00648
Madagascar,,,,,,,,,,4.07,3.65,7.8,7.4,6.19,6.58,7.55,3.08
Mexico,,,,,,,,,,,,0,0,0,0,0,
Mali,,,,,,,,,,5.99,7.48,5.46,7.79,12,8.98,11.1,16
Myanmar,,,,,,,7.83,6.64,7.09,8.04,6.01,6.07,5.63,5.25,4.17,3.56,3.4
Mozambique,,,,,,,,,5.18,6.7,7.54,18.2,22,17.8,20.7,20.5,24
Mauritania,,,,,,,,,11.5,21.1,19.1,12.8,3.67,,,,2.2
Malawi,610,,,,,,,339,,42.1,61.4,28.1,47.1,37.9,26.8,38.3,52.5
Malaysia,0.237,,0.131,0.117,0.139,0.17,0.189,0.115,0.121,0.0923,0.15,0.194,0.161,0.0849,0.139,0.129,0.0804
Namibia,,,,,,15.1,27.5,31.2,22.5,28.8,48.8,90.3,77.4,56.2,59.4,65.6,27.9
Niger,,,,,,,,10.2,17.6,20.2,9.07,34.9,20.4,25.4,10.8,75.1,18.7
Nigeria,2.42,2,1.07,0.689,1.59,3,4.26,4,5.24,3.39,4.54,3.37,3.12,3.97,4.37,4.59,4.55
Nicaragua,,,,,,,,,,,,0.0386,0.152,0.131,0.0185,0.11,0.0181
Nepal,,,,,0,0,0.0675,0.00878,0.03,,0,0.00401,0.0118,0.0192,0.0264,0.0369,0.152
Pakistan,,,,,,,,,,,,,,0.019,,0.0329,0.00559
Panama,,,,,,,,,,,,0,0.0653,0.0962,0.0945,,
Peru,,,,,,,,,,,,0.0962,0.0456,0.0938,0.0445,,
Philippines,1.49,1.47,1.35,1.24,1.17,0.938,0.765,0.718,0.767,1.01,0.703,0.564,0.123,0.2,0.202,0.172,0.126
Papua New Guinea,11.1,,11.5,10,6.13,8.81,10.6,7.85,12.8,10.8,11.5,11.2,12,9.64,10.8,12,10.8
North Korea,,,,,,,,,,,,0,0,0,,,
Paraguay,,,,,,,,,,,,0,0,0,0,,
Russia,0.00067,0.00067,,0.00067,0.00201,0.00134,0.00201,0.00269,,0.00203,0.00136,,0.00137,,,,
Rwanda,,,,,,,,,39,24.6,32.8,50.4,36.5,30.4,26.1,28,24.8
Saudi Arabia,,,,,,,,0.0313,0.142,,,0,0,0,0,0,0
Sudan,,,,,3.24,,6.42,5.88,6.15,8.04,6.48,6.61,6.12,7,5.02,4.62,0.263
Senegal,,,,,,,,12.6,10.5,12.3,12.9,14.3,11.3,14.3,13.3,13.5,13.9
Solomon Islands,10.5,14.3,9.94,11.7,13.9,14.1,8.06,7.05,8.39,5.69,9.15,12.9,13.5,15.8,7.38,8.04,2.48
Sierra Leone,,,,,,,,,,,,5.95,8.69,2.17,1.82,0.644,1.22
El Salvador,,,,,,,,,,,,0,0,0,0,0,0
Somalia,,,,,,,,,,,,,0.107,0.699,0.993,0.183,0.687
Sao Tome and Principe,,,,,,,,,114,,,174,221,131,112,55.7,16.8
Suriname,,,,,,,,,,,,5.23,3.61,4.03,1.56,0.442,0.22
Eswatini,,,,,,,,,10.7,14.3,,5.12,4.87,2.72,2.51,1.51,1.32
Syria,,,,,,,,,,,,,0,,0,0.0106,0.0103
Chad,,,,,,,,,,,,10.7,10.3,10.3,,,7.79
Togo,,,,,,,,,9.44,14.7,16.3,25,28.9,19.1,19.5,16.4,12.8
Thailand,2.37,,,,,,1.42,1.3,1.16,1.23,1.03,0.693,0.585,0.523,0.368,0.113,0.178
Tajikistan,,,,,,,,0.118,0,,,0,0,0,,,
Turkmenistan,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,
Turkey,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,
Tanzania,,,,,,,,,,,,2.41,1.24,40.9,52.1,47,52.7
Uganda,,,,,,,,,,,,,,31.1,,266,157
Uzbekistan,0,0.00476,0,0.00454,0,0,0,0,,0,,0,0,0,0,0,0
Vietnam,5.05,6.87,3.81,1.45,0.839,0.475,0.272,0.201,0.238,0.244,0.187,0.113,0.0614,0.0605,0.0286,0.0212,0.0476
Vanuatu,21.4,20.8,16.4,7.96,4.76,2.32,0,0,0,0,,1.03,4.02,3.91,0.476,4.64,2.72
Yemen,,,,,,,,,,,,,,0.146,,,0.313
South Africa,0.0957,0.0507,0.0364,0.114,0.0296,0.106,0.384,0.24,0.45,0.908,1.01,0.259,0.206,0.302,0.187,0.134,0.18
Zambia,59.9,59.9,38.7,53.3,64,,,,,83.9,31.3,87.8,83,82.9,73.5,67.4,55.4
Zimbabwe,,,,,,,,9.78,10.1,9.1,14.1,3.23,14.3,8.07,13.9,14.6,
